user_genome	Kingdom	Phylum	Class	Order	Family	Genus	Species
FDZ053-RBk20-22.bin.385	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JAGVXH01	
FDZ076-RGWu4-6.bin.298	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JAGVZT01		
FDZ072-GBeBe12-14.bin.7	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ070-GBeBe8-10.bin.5	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	BS150m-G67	
FDZ070-WuWY6-8.bin.299	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ061-WW8-10.bin.116	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	UBA10216		
FDZ072-RBkR8-10.bin.320	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	JAHJTO01		
FDZ060-HbR18-20.bin.203	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GCA-2686295	GCA-2686295	
FDZ061-WW16-18.bin.1158	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JAGWAF01		
FDZ070-GBkY2-4.bin.395	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	JAFCGC01	
FDZ076-RBkR18-20.bin.40	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	BS150m-G67	
FDZ069-GRR4-6.bin.202	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	CSP1-1	
FDZ060-HbY12-14.bin.378	Archaea	Iainarchaeota	Iainarchaeia	Iainarchaeales	GW2011-AR10	GW2011-AR10	
FDZ076-RRW26-28.bin.3	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ070-GBkY16-18.bin.155	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	JACPJP01	
FDZ054-Be28-30.bin.16	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ062-GYBe8-10.bin.25	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	ARS49	1-14-0-10-37-12	
FDZ053-RBk16-18.bin.321	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	JACPJP01	
FDZ076-WWWu2-4.bin.343	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	GCA-2686855	
FDZ052-G6-8.bin.527	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	UBA525		
FDZ069-R30-2.bin.202	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	UBA12030		
FDZ061-WW16-18.bin.824	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	PFCU01	
FDZ070-GBkY8-10.bin.195	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	BS150m-G67	
FDZ066-BawG2-4.bin.39	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ074-GRW24-26.bin.63	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopumilus	Nitrosopumilus sp013215285
FDZ074-GRR10-12.bin.83	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	JACPJP01	
FDZ071-RRG26-28.bin.181	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ041-Be15-20.bin.477	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	JAFCFN01		
FDZ074-GRR10-12.bin.114	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	CSP1-1	CSP1-1 sp022573065
FDZ070-WuWW14-16.bin.107	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	UBA10216	UBA492	
FDZ062-WuYW0-2.bin.227	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ074-WuRG4-6.bin.370	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ062-GYBk8-10.bin.89	Archaea	Undinarchaeota	Undinarchaeia				
FDZ074-WuWW12-14.bin.106	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1		
FDZ076-BkWG14-16.bin.97	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	GCA-2686855	
